Plaza,Local_Consolidado,Fecha,Organico,Inorganico,Carton,Aluminio,Archivo,Plastico_Duro,Pet,Playo,Vidrio,Tetra_Pak,Chatarra
Plaza Américas_Malecón,Lucky (Malecón),2/9/2024,10.12,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Las Delicias,2/9/2024,0.28,0.00,0.00,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Makay,2/9/2024,5.00,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Ramen Hicha,2/9/2024,12.64,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Olive Garden,2/9/2024,8.64,4.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,2/9/2024,8.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Subway,2/9/2024,3.60,2.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,El Gran Elote,2/9/2024,0.00,0.66,0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,2/9/2024,18.00,18.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sunright Tea,2/9/2024,0.00,0.00,5.03,0.00,0.42,0.00,0.84,0.12,0.00,0.00,0.00
Plaza Américas_Malecón,Sushingazo,2/9/2024,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Américas),2/9/2024,23.04,15.05,2.32,0.00,0.00,0.90,2.07,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Unorame,2/9/2024,5.08,16.09,2.06,0.00,0.00,0.00,1.66,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,2/9/2024,0.00,0.00,3.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Chicken Much,2/9/2024,0.00,8.04,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,2/9/2024,23.72,8.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Argentina,2/9/2024,8.80,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,2/9/2024,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Palapita Express,2/9/2024,4.74,2.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Lucky (Malecón),2/9/2024,13.20,19.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,2/9/2024,0.00,0.00,4.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Rubens Hamburguesas,2/9/2024,15.54,6.48,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Birria el Ruko,2/9/2024,8.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,2/9/2024,2.50,8.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Buba You (Américas),2/9/2024,16.38,6.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Toks,2/9/2024,30.30,63.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,2/9/2024,53.65,6.40,0.00,0.00,0.00,0.00,6.30,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,3/9/2024,23.25,23.25,0.00,0.00,0.00,0.64,1.36,0.00,2.06,0.00,0.00
Plaza Américas_Malecón,Toks,3/9/2024,19.88,101.60,5.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Haagen Dasz,3/9/2024,3.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,3/9/2024,13.12,16.88,25.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,3/9/2024,4.10,0.00,10.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Karukay Sushi,3/9/2024,14.40,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,3/9/2024,27.92,18.84,32.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Dragón Feliz (Malecón),3/9/2024,18.53,14.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,3/9/2024,34.52,5.02,8.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,KFC,3/9/2024,0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushiitto,3/9/2024,0.00,0.00,2.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,3/9/2024,7.48,18.13,0.00,0.00,0.00,0.00,0.00,0.00,3.10,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),3/9/2024,17.84,13.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Taberna,3/9/2024,27.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,17.12,0.00,0.00
Plaza Américas_Malecón,Carls Jr,3/9/2024,25.00,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Buba You (Américas),3/9/2024,4.66,8.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sunright Tea,3/9/2024,6.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,3/9/2024,56.60,2.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Burger King,3/9/2024,1.94,7.56,7.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,3/9/2024,16.00,23.60,0.00,0.00,0.00,4.00,0.00,0.00,16.70,0.00,0.00
Plaza Américas_Malecón,Toks,3/9/2024,3.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,3/9/2024,6.00,0.00,0.00,0.00,0.00,3.60,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,3/9/2024,0.00,42.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Hooters,3/9/2024,9.34,13.90,0.00,88.00,0.00,0.00,0.00,0.00,9.80,0.00,0.00
Plaza Américas_Malecón,Don Carbón,3/9/2024,29.80,15.20,0.00,2.30,0.00,0.00,0.00,0.00,0.24,0.00,0.00
Plaza Américas_Malecón,Buba You (Américas),3/9/2024,14.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Chili's,3/9/2024,11.27,18.29,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Palapita,3/9/2024,8.75,6.70,2.00,0.00,0.00,3.00,2.00,0.00,12.00,0.00,0.00
Plaza Américas_Malecón,Don Carbón,3/9/2024,9.00,16.00,4.00,2.00,0.00,1.00,2.50,0.00,2.00,0.00,0.00
Plaza Américas_Malecón,Hooters,3/9/2024,10.00,9.00,1.50,2.00,0.00,2.00,0.00,0.00,10.00,0.00,0.00
Plaza Américas_Malecón,Toks,3/9/2024,165.00,10.20,0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Italian Steak,3/9/2024,15.85,4.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Pizza Hut,3/9/2024,3.15,0.00,1.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Karukay Sushi,3/9/2024,0.00,3.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,La Parrilla,3/9/2024,12.54,8.13,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Bubba You (Malecón),3/9/2024,3.53,6.80,0.00,0.00,0.00,0.98,0.00,0.00,2.50,0.00,0.00
Plaza Américas_Malecón,Sushi Roll,3/9/2024,16.60,6.20,1.00,0.00,0.00,1.58,0.00,0.00,0.00,0.00,0.00
Plaza Américas_Malecón,Carls Jr,3/9/2024,0.00,8.36,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
